Game,Venue,Date,AL,NL
Game,All-Star Game Venue,Date | Box,A.L.,N.L.
1,"Comiskey Park
Chicago, Illinois",07-06-1933,4,2
2,"Polo Grounds
New York, New York",07-10-1934,9,7
3,"Municipal Stadium
Cleveland, Ohio",07-08-1935,4,1
4,"Braves Field
Boston, Massachusetts",07-07-1936,3,4
5,"Griffith Stadium
Washington, D.C.",07-07-1937,8,3
6,"Crosley Field
Cincinnati, Ohio",07-06-1938,1,4
7,"Yankee Stadium
New York, New York",07-11-1939,3,1
8,"Sportsman's Park
St. Louis, Missouri",07-09-1940,0,4
9,"Briggs Stadium
Detroit, Michigan",07-08-1941,7,5
10,"Polo Grounds
New York, New York",07-06-1942,3,1
11,"Shibe Park
Philadelphia, Pennsylvania",07-13-1943,5,3
12,"Forbes Field
Pittsburgh, Pennsylvania",07-11-1944,1,7
n/a,"Fenway Park
Boston, Massachusetts",07-10-1945,n/a,n/a
13,"Fenway Park
Boston, Massachusetts",07-09-1946,12,0
14,"Wrigley Field
Chicago, Illinois",07-08-1947,2,1
15,"Sportsman's Park
St. Louis, Missouri",07-13-1948,5,2
16,"Ebbets Field
Brooklyn, New York",07-12-1949,11,7
17,"Comiskey Park
Chicago, Illinois",07-11-1950,3,4
18,"Briggs Stadium
Detroit, Michigan",07-10-1951,3,8
19,"Shibe Park
Philadelphia, Pennsylvania",07-08-1952,2,3
20,"Crosley Field
Cincinnati, Ohio",07-14-1953,1,5
21,"Municipal Stadium
Cleveland, Ohio",07-13-1954,11,9
22,"County Stadium
Milwaukee, Wisconsin",07-12-1955,5,6
23,"Griffith Stadium
Washington, D.C.",07-10-1956,3,7
24,"Busch Stadium
St. Louis, Missouri",07-09-1957,6,5
25,"Memorial Stadium
Baltimore, Maryland",07-08-1958,4,3
26,"Forbes Field
Pittsburgh, Pennsylvania",07-07-1959,4,5
27,"Memorial Coliseum
Los Angeles, California",08-03-1959,5,3
28,"Municipal Stadium
Kansas City, Missouri",07-11-1960,3,5
29,"Yankee Stadium
New York, New York",07-13-1960,0,6
30,"Candlestick Park
San Francisco, California",07-11-1961,4,5
31,"Fenway Park
Boston, Massachusetts",07-31-1961,1,1
32,"D.C. Stadium
Washington, D.C.",07-10-1962,1,3
33,"Wrigley Field
Chicago, Illinois",07-30-1962,9,4
34,"Municipal Stadium
Cleveland, Ohio",07-09-1963,3,5
35,"Shea Stadium
New York, New York",07-07-1964,4,7
36,"Metropolitan Stadium
Bloomington, Minnesota",07-13-1965,5,6
37,"Busch Memorial Stadium
St. Louis, Missouri",07-12-1966,1,2
38,"Anaheim Stadium
Anaheim, California",07-11-1967,1,2
39,"Astrodome
Houston, Texas",07-09-1968,0,1
40,"R.F.K. Memorial Stadium
Washington, D.C.",07-23-1969,3,9
41,"Riverfront Stadium
Cincinnati, Ohio",07-14-1970,4,5
