Year,League,Name,Team,TH,W-L,ERA,IP,SO,SV
Year,LG,Cy Young Award Winner (Qty),Team (Qty),TH,W-L,ERA,IP,SO,SV
1956,NL,Don Newcombe (1 | MVP),Brooklyn (1),R,27-7,3.06,268.0,139,0
1957,NL,Warren Spahn (1 | HOF | ASG),Milwaukee (1),L,21-11,2.69,271.0,111,3
1958,AL,Bob Turley (1 | ASG),New York (1),R,21-7,2.97,245.1,168,1
1959,AL,Early Wynn (1 | HOF | ASG),Chicago (1),R,22-10,3.17,255.2,179,0
1960,NL,Vern Law (1 | ASG),Pittsburgh (1),R,20-9,3.08,271.2,120,0
1961,AL,Whitey Ford (1 | HOF | ASG),New York (2),L,25-4,3.21,283.0,209,0
1962,NL,Don Drysdale (1 | HOF | ASG),Los Angeles (2),R,25-9,2.83,314.1,232,1
1963,NL,Sandy Koufax (1 | HOF | MVP | ASG),Los Angeles (3),L,25-5,1.88,311.0,306,0
1964,AL,Dean Chance (1 | ASG),Los Angeles (1),R,20-9,1.65,278.1,207,4
1965,NL,Sandy Koufax (2 | HOF | ASG),Los Angeles (4),L,26-8,2.04,335.2,382,2
1966,NL,Sandy Koufax (3 | HOF | ASG),Los Angeles (5),L,27-9,1.73,323.0,317,0
Year,LG,Cy Young Award Winner (Qty),Team (Qty),TH,W-L,ERA,IP,SO,SV
Year,LG,Cy Young Award Winner (Qty),Team (Qty),TH,W-L,ERA,IP,SO,SV
1967,AL,Jim Lonborg (1 | ASG),Boston (1),R,22-9,3.16,273.1,246,0
1967,NL,Mike McCormick (1),San Francisco (1),L,22-10,2.85,262.1,150,0
1968,AL,Denny McLain (1 | MVP | ASG),Detroit (1),R,31-6,1.96,336.0,280,0
1968,NL,Bob Gibson (1 | HOF | MVP | ASG),St. Louis (1),R,22-9,1.12,304.2,268,0
1969,AL,Mike Cuellar (1),Baltimore (1),L,23-11,2.38,290.2,182,0
1969,AL,Denny McLain (2 | ASG),Detroit (2),R,24-9,2.80,325.0,181,0
1969,NL,Tom Seaver (1 | HOF | ASG),New York (1),R,25-7,2.21,273.1,208,0
1970,AL,Jim Perry (1 | ASG),Minnesota (1),R,24-12,3.03,279.0,168,0
1970,NL,Bob Gibson (2 | HOF | ASG),St. Louis (2),R,23-7,3.12,294.0,274,0
1971,AL,Vida Blue (1 | MVP | ASG),Oakland (1),L,24-8,1.82,312.0,301,0
1971,NL,Fergie Jenkins (1 | HOF | ASG),Chicago (1),R,24-13,2.77,325.0,263,0
1972,AL,Gaylord Perry (1 | HOF | ASG),Cleveland (1),R,24-16,1.92,343.0,234,1
1972,NL,Steve Carlton (1 | HOF | ASG),Philadelphia (1),L,27-10,1.97,346.1,310,0
1973,AL,Jim Palmer (1 | HOF),Baltimore (2),R,22-9,2.40,296.0,158,0
1973,NL,Tom Seaver (2 | HOF | ASG),New York (2),R,19-10,2.08,290.0,251,0
1974,AL,Catfish Hunter (1 | HOF | ASG),Oakland (2),R,25-12,2.49,318.0,143,0
1974,NL,Mike Marshall (1 | ASG),Los Angeles (6),R,15-12,2.42,208.1,143,21
1975,AL,Jim Palmer (2 | HOF | ASG),Baltimore (3),R,23-11,2.09,323.0,193,0
1975,NL,Tom Seaver (3 | HOF | ASG),New York (3),R,22-9,2.38,280.1,243,0
1976,AL,Jim Palmer (3 | HOF),Baltimore (4),R,22-13,2.51,315.0,159,0
1976,NL,Randy Jones (1 | ASG),San Diego (1),L,22-14,2.74,315.1,93,0
1977,AL,Sparky Lyle (1 | ASG),New York (3),L,13-5,2.17,137.0,68,26
1977,NL,Steve Carlton (2 | HOF | ASG),Philadelphia (2),L,23-10,2.64,283.0,198,0
1978,AL,Ron Guidry (1 | ASG),New York (4),L,25-3,1.74,273.2,248,0
1978,NL,Gaylord Perry (2 | HOF),San Diego (2),R,21-6,2.73,260.2,154,0
1979,AL,Mike Flanagan (1),Baltimore (5),L,23-9,3.08,266.0,190,0
