Year,League,Name,Team,Position
Year,LG,Rookie of the Year,Team (Qty),POS
1947,AL,One Winner,n/a,--
1947,NL,Jackie Robinson,Brooklyn (1),1B
1948,AL,One Winner,n/a,--
1948,NL,Alvin Dark,Boston (1),SS
1949,AL,Roy Sievers,St. Louis (1),OF
1949,NL,Don Newcombe,Brooklyn (2),RHP
1950,AL,Walt Dropo,Boston (1),1B
1950,NL,Sam Jethroe,Boston (2),OF
1951,AL,Gil McDougald,New York (1),3B
1951,NL,Willie Mays,New York (1),OF
1952,AL,Harry Byrd,Philadelphia (1),RHP
1952,NL,Joe Black,Brooklyn (3),RHP
1953,AL,Harvey Kuenn,Detroit (1),SS
1953,NL,Jim Gilliam,Brooklyn (4),2B
1954,AL,Bob Grim,New York (2),RHP
1954,NL,Wally Moon,St. Louis (1),OF
1955,AL,Herb Score,Cleveland (1),LHP
1955,NL,Bill Virdon,St. Louis (2),OF
1956,AL,Luis Aparicio,Chicago (1),SS
1956,NL,Frank Robinson (Unanimous),Cincinnati (1),OF
1957,AL,Tony Kubek,New York (3),SS
1957,NL,Jack Sanford,Philadelphia (1),RHP
1958,AL,Albie Pearson,Washington (1),OF
1958,NL,Orlando Cepeda (Unanimous),San Francisco (2),1B
1959,AL,Bob Allison,Washington (2),OF
1959,NL,Willie McCovey (Unanimous),San Francisco (3),1B
1960,AL,Ron Hansen,Baltimore (2),SS
1960,NL,Frank Howard,Los Angeles (5),OF
1961,AL,Don Schwall,Boston (2),RHP
1961,NL,Billy Williams,Chicago (1),OF
1962,AL,Tom Tresh,New York (4),SS
1962,NL,Ken Hubbs,Chicago (2),2B
1963,AL,Gary Peters,Chicago (2),LHP
1963,NL,Pete Rose,Cincinnati (2),2B
1964,AL,Tony Oliva,Minnesota (3),OF
1964,NL,Dick Allen,Philadelphia (2),3B
1965,AL,Curt Blefary,Baltimore (3),OF
1965,NL,Jim Lefebvre,Los Angeles (6),2B
1966,AL,Tommie Agee,Chicago (3),OF
1966,NL,Tommy Helms,Cincinnati (3),2B
1967,AL,Rod Carew,Minnesota (4),2B
1967,NL,Tom Seaver,New York (1),RHP
1968,AL,Stan Bahnsen,New York (5),RHP
1968,NL,Johnny Bench,Cincinnati (4),C
1969,AL,Lou Piniella,Kansas City (1),OF
1969,NL,Ted Sizemore,Los Angeles (7),2B
1970,AL,Thurman Munson,New York (6),C
1970,NL,Carl Morton,Montreal (1),RHP
1971,AL,Chris Chambliss,Cleveland (2),1B
1971,NL,Earl Williams,Atlanta (3),C
1972,AL,Carlton Fisk (Unanimous),Boston (3),C
1972,NL,Jon Matlack,New York (2),LHP
1973,AL,Al Bumbry,Baltimore (4),OF
1973,NL,Gary Matthews,San Francisco (4),OF
1974,AL,Mike Hargrove,Texas (1),1B
1974,NL,Bake McBride,St. Louis (3),OF
1975,AL,Fred Lynn,Boston (4),OF
1975,NL,John Montefusco,San Francisco (5),RHP
1976,AL,Mark Fidrych,Detroit (2),RHP
1976,NL,Butch Metzger,San Diego (1),RHP
1976,NL,Pat Zachry,Cincinnati (5),RHP
1977,AL,Eddie Murray,Baltimore (5),DH
1977,NL,Andre Dawson,Montreal (2),OF
1978,AL,Lou Whitaker,Detroit (3),2B
1978,NL,Bob Horner,Atlanta (4),3B
1979,AL,John Castino,Minnesota (5),3B
1979,AL,Alfredo Griffin,Toronto (1),SS
