Team,Manager,Years
American League Teams,Manager,Years
Baltimore Orioles Managers,Craig Albernaz,1954-2026
Boston Red Sox Managers,Alex Cora,1908-2026
Chicago White Sox Managers,Will Venable,1904-2026
Cleveland Guardians Managers,Stephen Vogt,2022-2026
Detroit Tigers Managers,A.J. Hinch,1901-2026
Houston Astros Managers,Joe Espada,2013-2026
Kansas City Royals Managers,Matt Quatraro,1969-2026
Los Angeles Angels Managers,Kurt Suzuki,2005-2026
Minnesota Twins Managers,Derek Shelton,1961-2026
New York Yankees Managers,Aaron Boone,1913-2026
Sacramento Athletics Managers,Mark Kotsay,1968-2026
Seattle Mariners Managers,Dan Wilson,1977-2026
Tampa Bay Rays Managers,Kevin Cash,2008-2026
Texas Rangers Managers,Skip Schumaker,1972-2026
Toronto Blue Jays Managers,John Schneider,1977-2026
National League Teams,Manager,Years
Arizona Diamondbacks Managers,Torey Lovullo,1998-2026
Atlanta Braves Managers,Walt Weiss,1966-2026
Chicago Cubs Managers,Craig Counsell,1902-2026
Cincinnati Reds Managers,Terry Francona,1959-2026
Colorado Rockies Managers,Warren Schaeffer,1993-2026
Los Angeles Dodgers Managers,Dave Roberts,1958-2026
Miami Marlins Managers,Clayton McCullough,2012-2026
Milwaukee Brewers Managers,Pat Murphy,1998-2026
New York Mets Managers,Carlos Mendoza,1962-2026
Philadelphia Phillies Managers,Rob Thomson,1883-2026
Pittsburgh Pirates Managers,Don Kelly,1891-2026
St. Louis Cardinals Managers,Oliver Marmol,1900-2026
San Diego Padres Managers,Craig Stammen,1969-2026
San Francisco Giants Managers,Tony Vitello,1958-2026
Washington Nationals Managers,Blake Butera,2005-2026
Defunct League | Teams,League,Years
Baltimore Orioles Managers,NL,1882-1899
Boston Red Caps Managers,NL,1876-1876
Buffalo Bisons Managers,NL,1879-1885
Cincinnati Red Stockings Managers,NL,1876-1880
Cleveland Blues Managers,NL,1879-1884
Cleveland Spiders Managers,NL,1887-1899
Detroit Wolverines Managers,NL,1881-1888
Hartford Dark Blues Managers,NL,1876-1877
Indianapolis Browns Managers,NL,1878-1878
Indianapolis Hoosiers Managers,NL,1887-1889
Kansas City Cowboys Managers,NL,1886-1886
Louisville Colonels Managers,NL,1892-1899
Louisville Grays Managers,NL,1876-1877
Milwaukee Cream Citys Managers,NL,1878-1878
New York Mutuals Managers,NL,1876-1876
Philadelphia Athletics Managers,NL,1876-1876
Providence Grays Managers,NL,1878-1885
St. Louis Brown Stockings Managers,NL,1876-1877
St. Louis Maroons Managers,NL,1885-1886
Syracuse Stars Managers,NL,1879-1879
Troy Trojans Managers,NL,1879-1882
Washington Senators Managers,NL,1886-1889
Washington Senators Managers,NL,1882-1899
Worcester Ruby Legs Managers,NL,1880-1882
